index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold,Primary Author,Total Revenue,Publisher Profit,Rating Category
0,1975,Beowulf,"Unknown, Seamus Heaney",en-US,Novice,3.42,155903,Fiction,34160.0,20496.0,4.88,1,HarperCollins Publishers,7000,Unknown,34160.0,20496.0,Average (3.0-3.5)
1,1987,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",eng,Intermediate,4.23,145267,Fiction,12437.5,7462.5,1.99,2,HarperCollins Publishers,6250,Frank Miller,12437.5,7462.5,Very Good (4.0-4.5)
2,2015,Go Set a Watchman,Harper Lee,eng,Novice,3.31,138669,Fiction,47795.0,28677.0,8.69,3,"Amazon Digital Services,  Inc.",5500,Harper Lee,47795.0,28677.0,Average (3.0-3.5)
3,2008,When You Are Engulfed in Flames,David Sedaris,en-US,Intermediate,4.04,150898,fiction,41250.0,24750.0,7.5,3,Hachette Book Group,5500,David Sedaris,41250.0,24750.0,Very Good (4.0-4.5)
4,2011,Daughter of Smoke & Bone,Laini Taylor,eng,Intermediate,4.04,198283,Fiction,37952.5,22771.5,7.99,4,Penguin Group (USA) LLC,4750,Laini Taylor,37952.5,22771.5,Very Good (4.0-4.5)
5,2015,Red Queen,Victoria Aveyard,eng,Intermediate,4.08,83354,Fiction,19960.0,0.0,4.99,5,"Amazon Digital Services,  Inc.",4000,Victoria Aveyard,19960.0,0.0,Very Good (4.0-4.5)
6,2011,The Power of Habit,Charles Duhigg,eng,Intermediate,4.03,155977,Fiction,27491.67,16495.002,6.99,6,HarperCollins Publishers,3933,Charles Duhigg,27491.67,16495.002,Very Good (4.0-4.5)
7,1994,Midnight in the Garden of Good and Evil,John Berendt,eng,Intermediate,3.9,167997,nonfiction,26182.0,15709.2,6.89,8,Hachette Book Group,3800,John Berendt,26182.0,15709.2,Good (3.5-4.0)
8,2012,Hopeless,Colleen Hoover,eng,Intermediate,4.34,189938,Fiction,26093.67,15656.202,6.99,9,HarperCollins Publishers,3733,Colleen Hoover,26093.67,15656.202,Very Good (4.0-4.5)
9,1905,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",eng,Intermediate,4.2,199872,Fiction,23792.34,14275.404,6.49,10,Random House LLC,3666,Frances Hodgson Burnett,23792.34,14275.404,Very Good (4.0-4.5)
10,2004,The Truth About Forever,Sarah Dessen,en-US,Intermediate,4.13,179415,Fiction,17964.0,0.0,4.99,11,"Amazon Digital Services,  Inc.",3600,Sarah Dessen,17964.0,0.0,Very Good (4.0-4.5)
11,1954,The horse and his boy,C.S. Lewis,eng,Intermediate,3.9,189671,fiction,21564.0,12938.4,5.99,11,Penguin Group (USA) LLC,3600,C.S. Lewis,21564.0,12938.4,Good (3.5-4.0)
12,2010,Last Sacrifice ,Richelle Mead,eng,Famous,4.42,206792,Fiction,3431.34,0.0,0.99,13,"Amazon Digital Services,  Inc.",3466,Richelle Mead,3431.34,0.0,Very Good (4.0-4.5)
13,1935,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.18,195424,Fiction,6897.34,4138.404,1.99,13,HarperCollins Publishers,3466,Laura Ingalls Wilder,6897.34,4138.404,Very Good (4.0-4.5)
14,1922,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",eng,Intermediate,4.29,173469,Fiction,21797.82,13078.692,6.54,15,Random House LLC,3333,Margery Williams Bianco,21797.82,13078.692,Very Good (4.0-4.5)
15,1974,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,eng,Intermediate,3.76,139411,Fiction,16297.34,0.0,4.99,16,"Amazon Digital Services,  Inc.",3266,Robert M. Pirsig,16297.34,0.0,Good (3.5-4.0)
16,1897,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",eng,Intermediate,3.8,159752,Fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200,H.G. Wells,15968.0,0.0,Good (3.5-4.0)
17,2006,Pretty Little Liars,Sara Shepard,en-US,Intermediate,3.9,156328,Fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200,Sara Shepard,15968.0,0.0,Good (3.5-4.0)
18,1948,Corduroy,Don Freeman,en-US,Intermediate,4.28,160860,Fiction,6234.67,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,3133,Don Freeman,6234.67,3740.802,Very Good (4.0-4.5)
19,2006,The Omnivore's Dilemma,Michael Pollan,eng,Intermediate,4.17,133271,Fiction,3035.34,0.0,0.99,19,"Amazon Digital Services,  Inc.",3066,Michael Pollan,3035.34,0.0,Very Good (4.0-4.5)
20,2013,Life After Life,Kate Atkinson,eng,Intermediate,3.74,138454,Fiction,11702.67,0.0,3.99,21,"Amazon Digital Services,  Inc.",2933,Kate Atkinson,11702.67,0.0,Good (3.5-4.0)
21,2000,The Rescue,Nicholas Sparks,en-US,Intermediate,4.1,142092,Fiction,8569.34,0.0,2.99,22,"Amazon Digital Services,  Inc.",2866,Nicholas Sparks,8569.34,0.0,Very Good (4.0-4.5)
22,1991,Needful Things,Stephen King,Unknown,Intermediate,3.87,153821,Fiction,2772.0,0.0,0.99,23,"Amazon Digital Services,  Inc.",2800,Stephen King,2772.0,0.0,Good (3.5-4.0)
23,1993,Voyager,Diana Gabaldon,eng,Intermediate,4.38,157395,Fiction,8171.67,0.0,2.99,24,"Amazon Digital Services,  Inc.",2733,Diana Gabaldon,8171.67,0.0,Very Good (4.0-4.5)
25,1981,Cujo,Stephen King,spa,Intermediate,3.65,158215,Fiction,7774.0,0.0,2.99,26,"Amazon Digital Services,  Inc.",2600,Stephen King,7774.0,0.0,Good (3.5-4.0)
26,1993,The Virgin Suicides,Jeffrey Eugenides,eng,Intermediate,3.83,159249,Fiction,26904.06,16142.436,10.91,28,Penguin Group (USA) LLC,2466,Jeffrey Eugenides,26904.06,16142.436,Good (3.5-4.0)
27,2004,Dead to the World,Charlaine Harris,eng,Intermediate,4.13,199572,Fiction,2376.0,0.0,0.99,29,"Amazon Digital Services,  Inc.",2400,Charlaine Harris,2376.0,0.0,Very Good (4.0-4.5)
28,1891,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",eng,Intermediate,3.77,171599,nonfiction,9576.0,5745.6,3.99,29,Hachette Book Group,2400,Thomas Hardy,9576.0,5745.6,Good (3.5-4.0)
29,1856,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",eng,Intermediate,3.64,158877,Fiction,9308.67,0.0,3.99,30,"Amazon Digital Services,  Inc.",2333,Gustave Flaubert,9308.67,0.0,Good (3.5-4.0)
30,1961,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",en-US,Intermediate,4.22,178432,Fiction,4509.34,0.0,1.99,31,"Amazon Digital Services,  Inc.",2266,Norton Juster,4509.34,0.0,Very Good (4.0-4.5)
31,2010,The Way of Kings,Brandon Sanderson,eng,Famous,4.64,144822,Fiction,2178.0,0.0,0.99,32,"Amazon Digital Services,  Inc.",2200,Brandon Sanderson,2178.0,0.0,Excellent (4.5-5.0)
32,2003,Club Dead,Charlaine Harris,en-GB,Intermediate,4.03,181323,Fiction,13178.0,7906.8,5.99,32,HarperCollins Publishers,2200,Charlaine Harris,13178.0,7906.8,Very Good (4.0-4.5)
33,2006,It's Kind of a Funny Story,Ned Vizzini,en-US,Intermediate,4.14,161001,nonfiction,2045.34,1227.204,0.99,34,HarperCollins Publishers,2066,Ned Vizzini,2045.34,1227.204,Very Good (4.0-4.5)
35,2015,After You,Jojo Moyes,eng,Intermediate,3.7,99342,Fiction,1964.16,0.0,0.99,36,"Amazon Digital Services,  Inc.",1984,Jojo Moyes,1964.16,0.0,Good (3.5-4.0)
36,2011,The Language of Flowers,Vanessa Diffenbaugh,eng,Intermediate,4.07,140076,Fiction,1964.16,1178.496,0.99,36,"Amazon Digital Services,  Inc.",1984,Vanessa Diffenbaugh,1964.16,1178.496,Very Good (4.0-4.5)
37,1986,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",eng,Intermediate,4.25,135979,Fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969,Frank Miller,1949.31,0.0,Very Good (4.0-4.5)
38,2005,The Angel Experiment,James Patterson,eng,Intermediate,4.08,172302,Fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969,James Patterson,1949.31,0.0,Very Good (4.0-4.5)
39,1995,High Fidelity,Nick Hornby,eng,Intermediate,3.94,134849,Fiction,20309.55,12185.73,10.65,41,Random House LLC,1907,Nick Hornby,20309.55,12185.73,Good (3.5-4.0)
40,2003,The Guardian,Nicholas Sparks,en-US,Intermediate,4.14,136427,Fiction,1873.08,0.0,0.99,42,"Amazon Digital Services,  Inc.",1892,Nicholas Sparks,1873.08,0.0,Very Good (4.0-4.5)
41,2003,Oryx and Crake,Margaret Atwood,eng,Intermediate,4.0,151500,Fiction,7485.24,0.0,3.99,43,"Amazon Digital Services,  Inc.",1876,Margaret Atwood,7485.24,0.0,Good (3.5-4.0)
42,1998,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,en-US,Intermediate,3.52,113915,Fiction,3703.39,2222.034,1.99,44,"Amazon Digital Services,  Inc.",1861,John Gray,3703.39,2222.034,Good (3.5-4.0)
43,2000,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,eng,Intermediate,4.0,134177,Fiction,11057.54,6634.524,5.99,45,HarperCollins Publishers,1846,Anthony Bourdain,11057.54,6634.524,Good (3.5-4.0)
44,1999,Timeline,Michael Crichton,en-US,Intermediate,3.83,148563,Fiction,12791.7,7675.02,6.99,46,"Amazon Digital Services,  Inc.",1830,Michael Crichton,12791.7,7675.02,Good (3.5-4.0)
45,1759,Candide,Voltaire,eng,Intermediate,3.76,151471,Fiction,8982.0,0.0,4.99,48,"Amazon Digital Services,  Inc.",1800,Voltaire,8982.0,0.0,Good (3.5-4.0)
46,1975,Tuck Everlasting,Natalie Babbitt,eng,Intermediate,3.85,174280,nonfiction,3582.0,2149.2,1.99,48,"Amazon Digital Services,  Inc.",1800,Natalie Babbitt,3582.0,2149.2,Good (3.5-4.0)
47,1983,Christine,"Stephen King, Marie Milpois",fre,Intermediate,3.72,151160,nonfiction,1766.16,1059.696,0.99,49,"Amazon Digital Services,  Inc.",1784,Stephen King,1766.16,1059.696,Good (3.5-4.0)
48,1960,Are You My Mother?,P.D. Eastman,eng,Intermediate,4.16,174204,Fiction,10596.31,6357.786,5.99,50,Penguin Group (USA) LLC,1769,P.D. Eastman,10596.31,6357.786,Very Good (4.0-4.5)
